OBJECTID,FIPS,COUNTY,STATE,POP2020,SQMI,Id,Country code,ENRICH_FID,Aggregation method,Population to polygon size rating for the country,Apportionment confidence for the country,Has data,2021 Education,2021 Avg: Education,2021 Index: Education,2021 Health Care,2021 Index: Health Care,2021 Avg: Health Care,2021 HH Operations,2021 Avg: HH Operations,2021 Index: HH Operations,2021 Total Crime Aggregate,2021 Personal Crime Aggregate,2021 Murder Aggregate,2021 Rape Aggregate,2021 Robbery Aggregate,2021 Assault Aggregate,2021 Property Crime Aggregate,2021 Burglary Aggregate,2021 Larceny Aggregate,2021 Motor Vehicle Theft Aggregate,2021 Total Crime Index,2021 Personal Crime Index,2021 Murder Index,2021 Rape Index,2021 Robbery Index,2021 Assault Index,2021 Property Crime Index,2021 Burglary Index,2021 Larceny Index,2021 Motor Vehicle Theft Index,Invalid1,Invalid2
1,06073000100,San Diego County,CA,3039,0.59000000,0,US,1,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.19100000,2.57600000,1,5712349.00000000,4269.32000000,247.00000000,17324308.00000000,208.00000000,12947.91000000,6647997.00000000,4968.61000000,225.00000000,274843.00000000,153308.00000000,77971.00000000,63134.00000000,227081.00000000,140282.00000000,296018.00000000,200144.00000000,296409.00000000,475563.00000000,91.00000000,51.00000000,26.00000000,21.00000000,75.00000000,46.00000000,98.00000000,66.00000000,98.00000000,157.00000000,,
2,06073000201,San Diego County,CA,1919,0.33000000,1,US,2,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.19100000,2.57600000,1,2625055.00000000,2478.81000000,144.00000000,9111558.00000000,138.00000000,8603.93000000,3316088.00000000,3131.34000000,142.00000000,258390.00000000,141636.00000000,21054.00000000,170346.00000000,193314.00000000,120582.00000000,277530.00000000,153120.00000000,294756.00000000,394284.00000000,135.00000000,74.00000000,11.00000000,89.00000000,101.00000000,63.00000000,145.00000000,80.00000000,154.00000000,206.00000000,,
3,06073000202,San Diego County,CA,4246,0.50000000,2,US,3,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.19100000,2.57600000,1,4635862.00000000,2079.79000000,121.00000000,14528683.00000000,105.00000000,6518.03000000,5468662.00000000,2453.41000000,111.00000000,310270.00000000,132282.00000000,17542.00000000,399952.00000000,56074.00000000,121327.00000000,341332.00000000,333129.00000000,347198.00000000,299443.00000000,74.00000000,32.00000000,4.00000000,96.00000000,13.00000000,29.00000000,82.00000000,80.00000000,83.00000000,72.00000000,,
4,06073000400,San Diego County,CA,4062,0.45000000,3,US,4,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.19100000,2.57600000,1,5232461.00000000,2239.92000000,130.00000000,14323984.00000000,98.00000000,6131.84000000,5684177.00000000,2433.29000000,110.00000000,584307.00000000,353440.00000000,46410.00000000,350746.00000000,443618.00000000,324340.00000000,620597.00000000,369506.00000000,678997.00000000,669688.00000000,146.00000000,88.00000000,12.00000000,87.00000000,110.00000000,81.00000000,155.00000000,92.00000000,169.00000000,167.00000000,,
5,06073000500,San Diego County,CA,2887,0.43000000,4,US,5,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.19100000,2.57600000,1,4449809.00000000,2590.11000000,150.00000000,11593958.00000000,108.00000000,6748.52000000,4707644.00000000,2740.19000000,124.00000000,270318.00000000,107723.00000000,12552.00000000,259128.00000000,64427.00000000,102760.00000000,297125.00000000,262498.00000000,287027.00000000,436648.00000000,95.00000000,38.00000000,4.00000000,91.00000000,23.00000000,36.00000000,104.00000000,92.00000000,101.00000000,153.00000000,,
6,06073000600,San Diego County,CA,3144,0.36000000,5,US,6,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.19100000,2.57600000,1,3986709.00000000,2149.17000000,125.00000000,10303138.00000000,89.00000000,5554.25000000,4165646.00000000,2245.63000000,102.00000000,328913.00000000,144378.00000000,22732.00000000,132922.00000000,201313.00000000,125775.00000000,356882.00000000,276504.00000000,361339.00000000,484372.00000000,106.00000000,46.00000000,7.00000000,43.00000000,65.00000000,40.00000000,115.00000000,89.00000000,116.00000000,156.00000000,,
7,06073000700,San Diego County,CA,4046,0.30000000,6,US,7,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.19100000,2.57600000,1,5757589.00000000,2365.48000000,137.00000000,15032280.00000000,99.00000000,6175.96000000,6057287.00000000,2488.61000000,113.00000000,436022.00000000,207756.00000000,23590.00000000,261466.00000000,314380.00000000,159109.00000000,473443.00000000,361301.00000000,477116.00000000,651936.00000000,110.00000000,52.00000000,6.00000000,66.00000000,79.00000000,40.00000000,119.00000000,91.00000000,120.00000000,164.00000000,,
8,06073000800,San Diego County,CA,4597,0.24000000,7,US,8,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.19100000,2.57600000,1,4961386.00000000,1881.45000000,109.00000000,12943317.00000000,79.00000000,4908.35000000,5206325.00000000,1974.34000000,89.00000000,304930.00000000,241420.00000000,103635.00000000,318169.00000000,271648.00000000,219958.00000000,314988.00000000,338681.00000000,276747.00000000,553417.00000000,67.00000000,53.00000000,23.00000000,70.00000000,60.00000000,48.00000000,69.00000000,75.00000000,61.00000000,122.00000000,,
9,06073001000,San Diego County,CA,5207,0.33000000,8,US,9,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.19100000,2.57600000,1,5195526.00000000,1967.26000000,114.00000000,14230983.00000000,86.00000000,5388.48000000,5553523.00000000,2102.81000000,95.00000000,540529.00000000,477882.00000000,60292.00000000,779406.00000000,293801.00000000,510505.00000000,550558.00000000,532745.00000000,543079.00000000,638304.00000000,111.00000000,98.00000000,12.00000000,159.00000000,60.00000000,104.00000000,113.00000000,109.00000000,111.00000000,131.00000000,,
10,06073001100,San Diego County,CA,3113,0.36000000,9,US,10,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.19100000,2.57600000,1,3097349.00000000,1873.77000000,109.00000000,10356967.00000000,100.00000000,6265.56000000,3739124.00000000,2262.02000000,102.00000000,379508.00000000,349277.00000000,56149.00000000,586358.00000000,120300.00000000,407785.00000000,383806.00000000,301047.00000000,401969.00000000,397699.00000000,126.00000000,116.00000000,19.00000000,195.00000000,40.00000000,135.00000000,127.00000000,100.00000000,133.00000000,132.00000000,,
